X,Y,SA2011,SOA2011,X_COORD,Y_COORD,Hectares,LGD2014NAME,2015 Default Urban/Rural,SOA2001_name,"Multiple Deprivation Measure Rank 
(where 1 is most deprived)","Income Domain Rank 
(where 1 is most deprived)",Employment Domain Rank (where 1 is most deprived),Health Deprivation and Disability Domain Rank (where 1 is most deprived),"Education, Skills and Training Domain Rank (where 1 is most deprived)",Access to Services Domain Rank (where 1 is most deprived),Living Environment Domain Rank (where 1 is most deprived),Crime and Disorder Domain Rank (where 1 is most deprived),IMDdeciles
-6.18699415574249,54.7133428888498,N00000064,95AA10W1,316893,386545,6.96641,Antrim and Newtownabbey,Urban,Greystone,150,249,368,518,82,2742,2977,26,"1"
-6.18715650120747,54.710236120153,N00000069,95AA10W1,316892,386199,9.67199,Antrim and Newtownabbey,Urban,Greystone,79,187,195,90,448,1434,3258,8,"1"
-6.20244930430813,54.7210326336794,N00000106,95AA16W1,315876,387375,6.07825,Antrim and Newtownabbey,Urban,Steeple,430,1130,594,218,195,3078,3452,337,"1"
-6.1938711581979,54.7182252945968,N00000117,95AA17W1,316436,387077,5.1755,Antrim and Newtownabbey,Urban,Stiles,166,943,172,8,294,2708,3270,388,"1"
-6.4652358299814,54.7499240470357,N00000129,95AA19W1,298874,390189,54.1983,Antrim and Newtownabbey,Rural,Toome,92,895,45,95,121,1181,2366,1367,"1"
-5.54777605449582,54.6388078261828,N00000219,95BB11S1,358372,379502,8.13165,Ards and North Down,Urban,Donaghadee South_1,374,139,468,1160,692,2155,4073,1583,"1"
-5.54337572828018,54.6385311465752,N00000220,95BB11S1,358658,379481,3.67036,Ards and North Down,Urban,Donaghadee South_1,233,359,460,279,154,2008,2942,969,"1"
-5.69722808656837,54.5966214225234,N00000234,95BB12S1,348879,374480,3.09711,Ards and North Down,Urban,Glen_1,238,184,455,582,156,4425,1162,1396,"1"
-5.66712590722269,54.5882912635429,N00000240,95BB13S1,350855,373617,15.4698,Ards and North Down,Urban,Gregstown_1,189,134,519,813,60,2240,3857,919,"1"
-5.52949327683356,54.6066679251829,N00000287,95BB18S1,359678,375967,5.5399,Ards and North Down,Rural,Millisle_1,386,260,473,830,824,2129,1789,793,"1"
-5.70594484114896,54.5803610748416,N00000332,95BB22S2,348375,372652,4.88248,Ards and North Down,Urban,Scrabo_2,195,129,421,957,112,1808,4050,948,"1"
-5.70320152453468,54.5791236673491,N00000333,95BB22S2,348557,372520,6.85781,Ards and North Down,Urban,Scrabo_2,309,1283,284,342,200,1730,1218,393,"1"
-6.67375940457975,54.3452689685434,N00000356,95CC03W1,286297,344873,22.2985,"Armagh City, Banbridge and Craigavon",Urban,Callan Bridge,454,549,530,314,859,3336,1049,759,"1"
-6.67714773049667,54.3517454500433,N00000358,95CC03W1,286063,345590,22.768,"Armagh City, Banbridge and Craigavon",Urban,Callan Bridge,371,175,568,776,839,2751,1505,801,"1"
-6.65498000535671,54.3478616916459,N00000359,95CC03W1,287513,345185,30.9775,"Armagh City, Banbridge and Craigavon",Urban,Callan Bridge,205,180,357,788,509,3768,181,81,"1"
-6.67326691983578,54.2161592302506,N00000365,95CC04W1,286599,330503,403.096,"Armagh City, Banbridge and Craigavon",Rural,Carrigatuke,365,44,1256,1623,1651,650,194,2047,"1"
-6.65577020515674,54.3547581614651,N00000448,95CC18W1,287447,345951,8.85598,"Armagh City, Banbridge and Craigavon",Urban,Observatory,359,408,497,395,553,3824,349,1217,"1"
-6.64369590068021,54.3480389151942,N00000475,95CC22W1,288246,345218,6.80341,"Armagh City, Banbridge and Craigavon",Urban,The Mall,433,56,884,1441,1257,4344,886,638,"1"
-6.2862448520787,54.8653451161291,N00000478,95DD01W1,310084,403303,8.20598,Mid and East Antrim,Urban,Academy,380,75,774,1500,955,3805,564,568,"1"
-6.26957994309095,54.8506533992992,N00000502,95DD04W1,311194,401694,8.37191,Mid and East Antrim,Urban,Ballee,394,1143,226,334,462,2301,4109,600,"1"
-6.26818824974918,54.8460143191226,N00000503,95DD04W1,311296,401180,37.9996,Mid and East Antrim,Urban,Ballee,424,585,616,620,190,2625,1822,1147,"1"
-6.27263442039731,54.8469908192089,N00000504,95DD04W1,311008,401281,6.09376,Mid and East Antrim,Urban,Ballee,108,136,279,221,249,2549,3388,82,"1"
-6.25160159132294,54.8601750985919,N00000507,95DD05W1,312322,402782,5.24275,Mid and East Antrim,Urban,Ballykeel,362,290,551,693,826,1578,2156,252,"1"
-6.25269737805138,54.8653879554987,N00000509,95DD05W1,312237,403361,33.2514,Mid and East Antrim,Urban,Ballykeel,121,85,399,846,139,1828,789,454,"1"
-6.25716900093759,54.8606846974356,N00000510,95DD05W1,311963,402830,19.04,Mid and East Antrim,Urban,Ballykeel,237,203,268,313,771,2076,3474,1199,"1"
-6.27790595466401,54.8633288782943,N00000528,95DD08W1,310625,403091,5.56383,Mid and East Antrim,Urban,Castle Demesne,327,151,1712,774,310,4494,13,223,"1"
-6.27159545991159,54.8822302838939,N00000554,95DD11W1,310978,405205,4.25201,Mid and East Antrim,Urban,Dunclug,383,708,759,622,150,1928,2379,105,"1"
-6.27372174340077,54.879058275724,N00000556,95DD11W1,310850,404849,16.0881,Mid and East Antrim,Urban,Dunclug,400,398,739,699,252,2234,910,1446,"1"
-6.2732875228092,54.8599062683077,N00000597,95DD18W1,310931,402718,3.38086,Mid and East Antrim,Urban,Harryville,267,179,965,954,209,3739,162,163,"1"
-6.27498606185223,54.8608130358813,N00000599,95DD18W1,310819,402816,6.5893,Mid and East Antrim,Urban,Harryville,240,1333,205,230,90,3791,1648,176,"1"
-6.26555539738005,54.8596896081935,N00000615,95DD20W1,311428,402706,6.36146,Mid and East Antrim,Urban,Moat,197,538,102,96,814,3385,3779,460,"1"
-6.49001994131082,55.0679658423618,N00000651,95EE03W1,296514,425556,15.2995,Causeway Coast and Glens,Urban,Carnany,28,141,33,213,57,2656,1220,1003,"1"
-6.50969225312164,55.0744875423124,N00000692,95EE12W1,295242,426255,5.30871,Causeway Coast and Glens,Urban,Newhill,211,307,301,410,106,3068,1966,1703,"1"
-6.5156909501654,55.0684237857531,N00000696,95EE13W1,294873,425572,20.4993,Causeway Coast and Glens,Urban,Route,9,62,32,71,116,4496,344,118,"1"
-6.2741436102368,54.3508076500795,N00000762,95FF07W1,312268,346052,4.31921,"Armagh City, Banbridge and Craigavon",Urban,Edenderry,137,81,242,404,572,3499,1456,281,"1"
-6.27821294550248,54.3513345446425,N00000765,95FF07W1,312002,346104,8.52371,"Armagh City, Banbridge and Craigavon",Urban,Edenderry,302,211,598,389,366,3527,3747,550,"1"
-6.26719235964866,54.3505332344415,N00000824,95FF17W1,312720,346033,18.5852,"Armagh City, Banbridge and Craigavon",Urban,The Cut,209,278,347,282,934,4520,74,55,"1"
-6.00025093118586,54.5729987529667,N00000830,95GG01S1,329372,371252,4.8843,Belfast,Urban,Andersonstown_1,408,4513,44,60,812,4165,2217,781,"1"
-5.99317311645197,54.5743107911439,N00000833,95GG01S2,329826,371411,3.84633,Belfast,Urban,Andersonstown_2,381,233,465,493,1231,4124,1993,293,"1"
-5.96308192207629,54.6167966121599,N00000841,95GG02S1,331634,376195,1.91318,Belfast,Urban,Ardoyne_1,63,532,34,15,234,3533,595,642,"1"
-5.96522456390848,54.6166243079006,N00000842,95GG02S1,331496,376172,4.76577,Belfast,Urban,Ardoyne_1,125,1003,67,33,347,4035,1446,180,"1"
-5.96308714744494,54.6151828282043,N00000844,95GG02S1,331639,376016,1.47334,Belfast,Urban,Ardoyne_1,303,217,290,322,1351,3826,720,2443,"1"
-5.96266298291966,54.6147365167405,N00000845,95GG02S1,331668,375967,1.39068,Belfast,Urban,Ardoyne_1,398,68,802,739,1303,3992,399,4532,"1"
-5.96340018424972,54.6142446609893,N00000846,95GG02S1,331622,375911,2.64357,Belfast,Urban,Ardoyne_1,231,594,146,268,706,4276,261,419,"1"
-5.95777231574644,54.6168228035478,N00000847,95GG02S2,331977,376208,9.34688,Belfast,Urban,Ardoyne_2,39,190,99,50,162,4211,510,218,"1"
-5.96018925156448,54.6165372716506,N00000848,95GG02S2,331822,376172,1.70716,Belfast,Urban,Ardoyne_2,85,54,112,206,815,3730,512,1744,"1"
-5.95968375382137,54.6156973335579,N00000849,95GG02S2,331857,376079,2.11889,Belfast,Urban,Ardoyne_2,133,71,192,145,1288,4088,580,2173,"1"
-5.9606035083872,54.6172664047336,N00000851,95GG02S2,331793,376252,1.72961,Belfast,Urban,Ardoyne_2,34,51,50,93,480,3911,434,1651,"1"
-5.95766677676552,54.614570066694,N00000852,95GG02S3,331991,375957,14.8877,Belfast,Urban,Ardoyne_3,80,342,91,48,280,3420,1972,175,"1"
-5.95216710811923,54.6153805607439,N00000853,95GG02S3,332344,376058,4.18636,Belfast,Urban,Ardoyne_3,190,1291,254,42,117,4224,263,867,"1"
-5.95301161726035,54.6140758973849,N00000854,95GG02S3,332293,375911,8.34379,Belfast,Urban,Ardoyne_3,180,1518,214,73,167,3431,415,76,"1"
-5.90817848202912,54.5996096732592,N00000875,95GG04S1,335237,374387,4.1203,Belfast,Urban,Ballymacarrett_1,295,652,489,195,194,3792,2231,286,"1"
-5.90877297849078,54.5952426021112,N00000876,95GG04S1,335213,373899,5.68239,Belfast,Urban,Ballymacarrett_1,325,1319,139,226,469,3917,1706,479,"1"
-5.90505240686043,54.6008917060069,N00000877,95GG04S1,335435,374535,5.43909,Belfast,Urban,Ballymacarrett_1,324,238,846,439,129,3502,4308,1129,"1"
-5.90447760430996,54.5991669694875,N00000878,95GG04S2,335478,374344,4.86157,Belfast,Urban,Ballymacarrett_2,154,1935,196,31,12,4374,3883,35,"1"
-5.90001845751468,54.5984195168246,N00000882,95GG04S3,335769,374270,3.56803,Belfast,Urban,Ballymacarrett_3,35,130,138,318,21,3319,890,36,"1"
-5.89596226874941,54.5977696990158,N00000883,95GG04S3,336033,374205,4.36831,Belfast,Urban,Ballymacarrett_3,245,833,372,250,50,3687,1129,899,"1"
-5.97095383765128,54.6303157088525,N00000907,95GG06S1,331082,377685,9.17775,Belfast,Urban,Ballysillan_1,274,400,977,328,80,3904,525,362,"1"
-5.97256596582022,54.6248404686739,N00000912,95GG06S1,330996,377073,4.4743,Belfast,Urban,Ballysillan_1,453,97,1309,1734,739,3477,98,924,"1"
-5.96426129987326,54.5878453632171,N00000930,95GG07S1,331651,372971,3.71388,Belfast,Urban,Beechmount_1,294,3716,179,69,160,2781,171,1191,"1"
-5.96388530156961,54.5951656241783,N00000931,95GG07S2,331652,373786,5.6374,Belfast,Urban,Beechmount_2,173,1810,92,25,158,4181,1075,688,"1"
-5.96071567658793,54.5936927301184,N00000932,95GG07S2,331862,373628,11.0447,Belfast,Urban,Beechmount_2,186,171,286,297,779,4533,84,1268,"1"
-5.96663938338219,54.5939632800778,N00000940,95GG07S3,331478,373647,1.89251,Belfast,Urban,Beechmount_3,196,237,355,224,817,4070,56,500,"1"
-5.92077723722817,54.6451410308404,N00000946,95GG08S2,334273,379430,18.9351,Belfast,Urban,Bellevue_2,366,542,848,649,58,3994,1154,456,"1"
-5.95910672196838,54.5863984340487,N00000975,95GG10S1,331989,372819,9.44687,Belfast,Urban,Blackstaff_1,199,437,770,546,45,3264,129,25,"1"
-5.95331438224222,54.5864554156825,N00000976,95GG10S1,332363,372837,1.90431,Belfast,Urban,Blackstaff_1,244,566,433,249,75,3398,3844,434,"1"
-5.95528520153422,54.5868016242306,N00000978,95GG10S1,332235,372871,1.5122,Belfast,Urban,Blackstaff_1,116,13,984,1141,61,3323,99,533,"1"
-5.95643699707616,54.5884961123614,N00000989,95GG10S2,332155,373058,3.61794,Belfast,Urban,Blackstaff_2,280,411,810,702,71,3384,184,491,"1"
-5.92459780318983,54.5857671843674,N00001020,95GG12S3,334222,372814,1.76501,Belfast,Urban,Botanic_3,415,181,1097,672,1193,3557,768,13,"1"
-5.92148731558088,54.5888954730927,N00001028,95GG12S5,334413,373169,5.2959,Belfast,Urban,Botanic_5,235,2995,71,35,334,3906,1669,161,"1"
-5.92088644758984,54.5865954317022,N00001029,95GG12S5,334459,372914,6.53992,Belfast,Urban,Botanic_5,368,461,673,523,328,4091,235,531,"1"
-5.92555636155889,54.5869660203035,N00001030,95GG12S5,334156,372946,8.71487,Belfast,Urban,Botanic_5,378,1192,825,114,350,3020,585,40,"1"
-5.92213109524612,54.6316863853626,N00001033,95GG13S1,334230,377930,4.8988,Belfast,Urban,Castleview_1,14,8,2,103,546,3949,1009,2667,"1"
-5.92766381876902,54.6326309040567,N00001035,95GG13S1,333870,378024,3.35851,Belfast,Urban,Castleview_1,284,196,711,638,177,2809,998,1720,"1"
-5.9451325720426,54.6325274847607,N00001052,95GG14S2,332742,377980,2.0659,Belfast,Urban,Cavehill_2,229,2,556,735,1604,2305,1660,1185,"1"
-5.93799022347478,54.6246354464954,N00001079,95GG16S1,333229,377115,9.41169,Belfast,Urban,Chichester Park_1,275,479,508,286,576,4532,38,196,"1"
-5.95082740740864,54.6177049042723,N00001093,95GG17S1,332423,376319,7.42037,Belfast,Urban,Cliftonville_1,304,1028,288,66,592,2589,1837,671,"1"
-5.95318945132082,54.6176349941293,N00001094,95GG17S1,332270,376307,2.64233,Belfast,Urban,Cliftonville_1,270,486,176,244,1569,3829,605,238,"1"
-5.94813443650489,54.6187933065074,N00001095,95GG17S1,332593,376445,3.73924,Belfast,Urban,Cliftonville_1,282,417,386,319,889,3627,266,159,"1"
-5.9658068033899,54.6206663616457,N00001102,95GG17S3,331446,376621,21.5628,Belfast,Urban,Cliftonville_3,367,1150,319,336,109,4121,3598,692,"1"
-5.96187341952006,54.5975115118174,N00001107,95GG18S1,331774,374051,1.73135,Belfast,Urban,Clonard_1,444,954,342,247,1113,4009,257,670,"1"
-5.96058957971954,54.5956423987739,N00001108,95GG18S1,331863,373845,1.27722,Belfast,Urban,Clonard_1,198,176,265,266,924,4082,1361,172,"1"
-5.96915082368094,54.5995945492441,N00001109,95GG18S1,331297,374269,17.9647,Belfast,Urban,Clonard_1,299,1103,253,166,232,3273,986,1482,"1"
-5.96208115178828,54.6008142214739,N00001110,95GG18S1,331750,374418,3.27862,Belfast,Urban,Clonard_1,172,195,337,198,917,2927,175,358,"1"
-5.96205022917148,54.5989962153716,N00001112,95GG18S1,331758,374216,2.10733,Belfast,Urban,Clonard_1,49,89,53,157,648,4043,262,474,"1"
-5.95415609488089,54.5990804474873,N00001113,95GG18S2,332268,374240,15.702,Belfast,Urban,Clonard_2,451,2031,324,89,621,4509,480,525,"1"
-5.95613856772856,54.5962246821474,N00001116,95GG18S2,332149,373919,4.75534,Belfast,Urban,Clonard_2,259,1343,241,78,612,4537,500,6,"1"
